                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9246,                 5.4135,                 4.2153,                0.00111,                0.19608,                0.00182,                0.00073,                 3.6801,                 5.0144,                 4.1592,                  4e-05,                  4e-05,                  4e-05
                      2,                  3.676,                 5.2941,                 4.1941,                0.00111,                0.19608,                0.00191,                0.00079,                   3.68,                 5.0158,                 4.1592,              9.967e-05,              9.967e-05,              9.967e-05
                      3,                 3.4951,                 5.1965,                 4.1713,                0.00111,                0.19608,                0.00156,                0.00057,                 3.6797,                 5.0181,                 4.1585,             0.00015894,             0.00015894,             0.00015894
                      4,                  3.785,                  5.124,                 4.1588,                0.00111,                0.19608,                0.00122,                0.00049,                 3.6792,                 5.0194,                 4.1569,             0.00021782,             0.00021782,             0.00021782
                      5,                  3.866,                 5.1069,                 4.1147,                0.00111,                0.19608,                0.00117,                0.00053,                  3.679,                 5.0163,                 4.1544,              0.0002763,              0.0002763,              0.0002763
                      6,                 3.6225,                 4.9044,                 4.0983,                0.00111,                0.19608,                0.00168,                0.00064,                 3.6786,                 5.0091,                 4.1511,             0.00033439,             0.00033439,             0.00033439
                      7,                 3.2152,                 4.2931,                 3.9432,                0.00111,                0.19608,                0.00178,                0.00069,                 3.6782,                 4.9987,                 4.1485,             0.00039208,             0.00039208,             0.00039208
                      8,                 3.2274,                 4.6918,                 3.8616,                0.00111,                0.19608,                0.00123,                0.00057,                 3.6785,                 4.9798,                 4.1476,             0.00044937,             0.00044937,             0.00044937
                      9,                 3.0449,                 4.3549,                 3.7593,                0.00111,                0.19608,                0.00107,                0.00048,                 3.6788,                 4.9507,                 4.1489,             0.00050627,             0.00050627,             0.00050627
                     10,                 3.0246,                 4.1365,                 3.6216,                0.00111,                0.19608,                0.00108,                0.00051,                 3.6796,                 4.9148,                 4.1528,             0.00056277,             0.00056277,             0.00056277
                     11,                 2.8542,                  3.873,                 3.5021,                0.00111,                0.19608,                0.00107,                0.00041,                 3.6805,                 4.8495,                 4.1593,             0.00061888,             0.00061888,             0.00061888
                     12,                 2.6689,                 3.8719,                 3.3737,                  0.001,                0.17647,                0.00102,                0.00034,                  3.681,                 4.7816,                 4.1645,             0.00067459,             0.00067459,             0.00067459
                     13,                  2.738,                 3.8494,                 3.2995,                  0.001,                0.17647,                0.00103,                0.00029,                 3.6819,                 4.7175,                 4.1743,              0.0007299,              0.0007299,              0.0007299
                     14,                 2.4444,                 3.4797,                  3.045,                  0.001,                0.17647,                0.00097,                 0.0003,                 3.6814,                 4.6655,                 4.1877,             0.00078482,             0.00078482,             0.00078482
                     15,                 2.4213,                 3.4579,                 2.9566,                  0.001,                0.17647,                0.00092,                0.00028,                 3.6811,                 4.6682,                 4.2024,             0.00083934,             0.00083934,             0.00083934
                     16,                 2.5038,                 3.3329,                 2.9258,                  0.001,                0.17647,                0.00084,                0.00036,                 3.6811,                 4.6446,                 4.2175,             0.00089347,             0.00089347,             0.00089347
                     17,                 2.4672,                 3.4154,                 2.8498,                0.00111,                0.19608,                0.00106,                0.00046,                 3.6848,                 4.6282,                 4.2341,              0.0009472,              0.0009472,              0.0009472
                     18,                 2.4905,                 3.1663,                 2.6908,                0.00111,                0.19608,                0.00147,                0.00059,                 3.6957,                 4.7019,                 4.2467,              0.0010005,              0.0010005,              0.0010005
                     19,                 2.4578,                 3.4006,                  2.677,                0.00111,                0.19608,                  0.001,                0.00047,                 3.6955,                 4.5733,                 4.2438,              0.0010535,              0.0010535,              0.0010535
                     20,                 2.2292,                 3.0918,                 2.5573,                0.00174,                0.11765,                0.00155,                0.00034,                 3.6855,                 4.5051,                 4.2028,               0.001106,               0.001106,               0.001106
                     21,                 2.3082,                 2.9122,                  2.548,                 0.0016,                0.09804,                0.00223,                0.00054,                 3.6756,                 4.6211,                  4.214,              0.0011582,              0.0011582,              0.0011582
                     22,                 2.3032,                 2.9064,                 2.5428,                 0.0017,                0.09804,                0.00219,                0.00046,                 3.6509,                 4.5172,                  4.199,              0.0012099,              0.0012099,              0.0012099
                     23,                 2.1824,                 2.6978,                 2.4486,                0.00161,                0.09804,                0.00217,                0.00059,                 3.6245,                 4.4759,                 4.0689,              0.0012613,              0.0012613,              0.0012613
                     24,                 2.3458,                 2.7659,                 2.5277,                0.00132,                0.07843,                0.00204,                0.00054,                 3.6326,                 4.5473,                 4.1716,              0.0013122,              0.0013122,              0.0013122
                     25,                 2.3305,                 2.6848,                 2.5203,                 0.0025,                0.07843,                0.00256,                0.00075,                 3.6451,                 4.5916,                 4.2856,              0.0013628,              0.0013628,              0.0013628
                     26,                 2.1633,                 2.5195,                   2.32,                 0.0032,                0.09804,                0.00218,                0.00058,                 3.6277,                 4.6084,                 4.3299,              0.0014129,              0.0014129,              0.0014129
                     27,                 2.1329,                 2.3641,                 2.3491,                0.00251,                0.07843,                0.00181,                0.00054,                 3.6226,                 4.6763,                 4.3143,              0.0014627,              0.0014627,              0.0014627
                     28,                 2.1537,                 2.4096,                 2.2988,                0.00251,                0.07843,                0.00179,                0.00052,                 3.5901,                 4.6277,                 4.2786,              0.0015121,              0.0015121,              0.0015121
                     29,                  2.095,                 2.3178,                 2.2547,                0.00304,                0.09804,                0.00233,                0.00048,                 3.5067,                 4.5101,                 4.1567,              0.0015611,              0.0015611,              0.0015611
                     30,                 2.0242,                 2.4255,                  2.294,                0.00249,                0.07843,                0.00183,                0.00042,                 3.5157,                 4.6017,                 4.1366,              0.0016097,              0.0016097,              0.0016097
                     31,                  1.986,                  2.231,                 2.2019,                0.00319,                0.09804,                 0.0024,                0.00056,                 3.5295,                 4.5967,                 4.1446,              0.0016578,              0.0016578,              0.0016578
                     32,                 2.0871,                 2.4131,                  2.385,                0.00347,                0.11765,                 0.0024,                0.00055,                 3.3042,                 4.3994,                 3.8017,              0.0017056,              0.0017056,              0.0017056
                     33,                 2.0442,                 2.2381,                 2.3089,                0.00494,                0.31373,                0.01033,                0.00348,                 3.0299,                 3.9967,                 3.4618,               0.001753,               0.001753,               0.001753
                     34,                 2.0015,                 2.0637,                 2.2081,                0.00489,                0.41176,                0.00901,                0.00308,                 2.9885,                 4.0057,                 3.4257,              0.0017822,              0.0017822,              0.0017822
                     35,                 1.9933,                 2.0739,                 2.1671,                0.02345,                0.01961,                0.01607,                0.00855,                 2.9779,                 3.7884,                 3.2189,              0.0017756,              0.0017756,              0.0017756
                     36,                 1.9134,                 2.1162,                 2.1574,                0.21889,                0.01961,                0.05313,                0.01767,                 2.8196,                 3.9044,                 3.1446,               0.001769,               0.001769,               0.001769
                     37,                  1.992,                 2.0689,                 2.1658,                0.00477,                 0.2549,                0.02346,                0.01238,                 2.9413,                 4.0984,                 3.4506,              0.0017624,              0.0017624,              0.0017624
                     38,                 1.9639,                 2.0521,                  2.144,                0.13249,                0.07843,                0.04688,                0.01415,                 2.6545,                 3.6939,                 3.1423,              0.0017558,              0.0017558,              0.0017558
                     39,                 1.9787,                 2.0551,                 2.2741,                0.18205,                0.21569,                0.10884,                0.03707,                 2.5089,                 3.2435,                  2.685,              0.0017492,              0.0017492,              0.0017492
                     40,                 1.8934,                 1.9379,                 2.1043,                 0.3998,                0.18304,                0.18451,                0.08282,                 2.3914,                 2.9215,                 2.5806,              0.0017426,              0.0017426,              0.0017426
                     41,                 1.8443,                 1.9336,                 2.0553,                0.25233,                0.13725,                  0.112,                0.03575,                 2.4915,                 3.1689,                 2.6953,               0.001736,               0.001736,               0.001736
                     42,                 1.7837,                  1.958,                  1.964,                0.44288,                0.07843,                0.09653,                 0.0291,                 2.4906,                 3.6419,                 2.7803,              0.0017294,              0.0017294,              0.0017294
                     43,                 1.8976,                 1.9375,                 2.1473,                0.04001,                0.05882,                0.03234,                0.01331,                 2.6203,                 3.5415,                  2.732,              0.0017228,              0.0017228,              0.0017228
                     44,                 1.9193,                 1.8649,                 2.1072,                0.28719,                0.19608,                0.13663,                0.04745,                 2.5795,                 2.8986,                 2.5896,              0.0017162,              0.0017162,              0.0017162
                     45,                 1.8066,                  1.781,                 2.0344,                0.11557,                0.11765,                0.06074,                0.02814,                 2.5871,                 4.8823,                 2.6819,              0.0017096,              0.0017096,              0.0017096
                     46,                 1.8783,                  1.833,                 2.0985,                0.25943,                0.07843,                0.07223,                0.02481,                 2.8275,                 3.7651,                 2.8164,               0.001703,               0.001703,               0.001703
                     47,                 1.8156,                 1.7903,                 2.0352,                0.46074,                0.11765,                0.13032,                0.07206,                 2.6596,                 3.7573,                 2.7499,              0.0016964,              0.0016964,              0.0016964
                     48,                 1.7227,                 1.7421,                 1.9638,                 0.2091,                0.31373,                0.17633,                0.06309,                 2.3527,                 2.8964,                 2.5521,              0.0016898,              0.0016898,              0.0016898
                     49,                 1.8291,                 1.8052,                 2.1179,                0.37036,                0.19608,                0.21075,                0.07083,                 2.3197,                 2.8736,                 2.6042,              0.0016832,              0.0016832,              0.0016832
                     50,                 1.7965,                 1.6895,                 2.0191,                0.26796,                0.19608,                0.18835,                0.05897,                 2.2408,                 3.5593,                 2.5393,              0.0016766,              0.0016766,              0.0016766
                     51,                 1.7737,                 1.8435,                 1.9832,                0.32292,                0.19608,                0.21264,                0.08841,                 2.1324,                 3.0078,                 2.3446,                0.00167,                0.00167,                0.00167
                     52,                 1.6977,                 1.7813,                 1.8648,                0.35249,                0.19608,                0.18903,                0.08051,                 2.0417,                  3.571,                 2.3271,              0.0016634,              0.0016634,              0.0016634
                     53,                 1.7574,                 1.7604,                 1.9324,                0.41853,                0.33333,                0.27703,                0.09451,                 2.1581,                 2.6078,                 2.3127,              0.0016568,              0.0016568,              0.0016568
                     54,                 1.6849,                  1.699,                 1.8886,                0.55524,                0.17647,                0.21029,                0.08819,                 2.1291,                 3.2232,                 2.3837,              0.0016502,              0.0016502,              0.0016502
                     55,                 1.7209,                 1.6415,                 1.9317,                0.24065,                0.23529,                 0.1819,                0.07806,                 2.3153,                 2.7904,                 2.5061,              0.0016436,              0.0016436,              0.0016436
                     56,                  1.622,                 1.6141,                 1.8369,                 0.2488,                 0.2549,                0.13434,                 0.0523,                 2.4143,                 2.8979,                 2.8026,               0.001637,               0.001637,               0.001637
                     57,                  1.624,                 1.5979,                 1.8342,                0.53359,                0.19608,                0.24054,                0.10063,                 2.1923,                 2.5043,                 2.5626,              0.0016304,              0.0016304,              0.0016304
                     58,                 1.6556,                 1.7292,                 1.8256,                0.47086,                0.15686,                0.15299,                0.07232,                 2.3016,                 3.4991,                 2.5948,              0.0016238,              0.0016238,              0.0016238
                     59,                 1.6387,                 1.5624,                 1.8324,                0.39486,                0.34554,                0.28921,                0.13959,                 1.9554,                 2.5155,                 2.2294,              0.0016172,              0.0016172,              0.0016172
                     60,                 1.7113,                 1.7047,                 1.8954,                0.34112,                 0.2549,                0.23413,                 0.1134,                 1.7924,                 2.5361,                 2.0678,              0.0016106,              0.0016106,              0.0016106
                     61,                  1.575,                 1.5754,                 1.8358,                 0.3426,                0.41176,                0.31136,                0.16536,                 1.8495,                 2.1478,                 2.0294,               0.001604,               0.001604,               0.001604
                     62,                 1.6044,                  1.582,                 1.7972,                0.26959,                0.29412,                0.23106,                0.11198,                 1.9656,                 2.4469,                 2.1053,              0.0015974,              0.0015974,              0.0015974
                     63,                 1.6043,                 1.6437,                 1.8234,                0.53162,                0.21569,                0.24473,                0.12745,                 1.9407,                 2.9546,                 2.1773,              0.0015908,              0.0015908,              0.0015908
                     64,                 1.5582,                 1.5142,                 1.8015,                0.53211,                0.17849,                0.24856,                0.12577,                 1.9258,                 2.8662,                 2.1266,              0.0015842,              0.0015842,              0.0015842
                     65,                 1.5558,                  1.482,                 1.8259,                0.21619,                0.35155,                0.22076,                0.11814,                 1.7816,                 2.5284,                 2.0121,              0.0015776,              0.0015776,              0.0015776
                     66,                 1.6404,                 1.5699,                 1.8104,                0.25544,                0.35294,                0.26144,                0.13654,                 1.8917,                 2.4105,                 2.1163,               0.001571,               0.001571,               0.001571
                     67,                 1.6134,                 1.5234,                 1.8754,                0.40246,                0.27451,                0.31325,                0.16883,                 1.9056,                 2.2647,                 2.1483,              0.0015644,              0.0015644,              0.0015644
                     68,                 1.5593,                 1.5102,                 1.7838,                0.35422,                0.43023,                0.32029,                 0.1773,                  1.774,                 2.0842,                 1.9907,              0.0015578,              0.0015578,              0.0015578
                     69,                 1.5661,                 1.4741,                 1.7529,                0.27421,                0.42969,                0.28104,                0.13124,                 1.8231,                 2.2911,                 2.0006,              0.0015512,              0.0015512,              0.0015512
                     70,                 1.6309,                 1.5936,                 1.8439,                0.38756,                0.37255,                0.27742,                0.12776,                 1.8738,                 2.5543,                 2.1494,              0.0015446,              0.0015446,              0.0015446
                     71,                  1.567,                 1.4495,                 1.8061,                0.42051,                0.47059,                0.39591,                0.20043,                 1.7907,                 2.0023,                 1.9878,               0.001538,               0.001538,               0.001538
                     72,                 1.4799,                 1.4182,                 1.7071,                0.22847,                0.43137,                0.26169,                0.14326,                 1.9501,                 2.7873,                 2.1479,              0.0015314,              0.0015314,              0.0015314
                     73,                 1.3999,                 1.3384,                 1.7119,                0.34337,                0.34868,                0.34118,                0.17221,                   1.85,                 2.2231,                 2.0616,              0.0015248,              0.0015248,              0.0015248
