                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.0502,                 1.9447,                 2.1837,                0.33006,                0.22642,                0.17861,                0.06842,                 2.1816,                 3.0336,                  2.409,              0.0016733,              0.0016733,              0.0016733
                     35,                 1.9513,                 1.8482,                 2.1938,                0.39793,                0.20755,                0.25137,                 0.1025,                 2.0951,                 2.4632,                 2.3346,              0.0016634,              0.0016634,              0.0016634
                     36,                 1.9369,                 1.7576,                 2.1387,                0.36517,                0.35849,                0.22761,                0.08744,                 2.1833,                 2.6135,                 2.4133,              0.0016535,              0.0016535,              0.0016535
                     37,                 1.9441,                 1.6666,                 2.0679,                0.38219,                0.45283,                0.32614,                0.13736,                 1.9989,                 2.4363,                  2.308,              0.0016436,              0.0016436,              0.0016436
                     38,                 1.8101,                 1.6618,                 1.9855,                0.37124,                0.39623,                0.33847,                0.14801,                  2.014,                 2.3919,                 2.2401,              0.0016337,              0.0016337,              0.0016337
                     39,                  1.935,                 1.6336,                 2.1354,                0.33958,                0.26415,                0.24043,                0.09899,                 2.1292,                 2.7677,                 2.3152,              0.0016238,              0.0016238,              0.0016238
                     40,                 1.8516,                 1.5631,                 2.0547,                0.51878,                0.26444,                0.29352,                0.11895,                 2.0671,                 2.6532,                 2.3038,              0.0016139,              0.0016139,              0.0016139
                     41,                 1.9338,                 1.6507,                 2.1037,                  0.337,                0.37736,                0.26364,                    0.1,                 2.1138,                 2.5488,                 2.3057,               0.001604,               0.001604,               0.001604
                     42,                 1.7977,                 1.5858,                 1.9822,                0.47024,                0.35849,                0.27817,                0.11573,                 2.0339,                 2.5259,                 2.2658,              0.0015941,              0.0015941,              0.0015941
                     43,                 1.9259,                   1.63,                 2.1182,                0.41455,                0.35849,                0.32816,                0.12907,                 1.9824,                 2.4972,                 2.2924,              0.0015842,              0.0015842,              0.0015842
                     44,                 1.8389,                 1.5738,                 1.9868,                0.42418,                0.35849,                0.32756,                0.12804,                 2.0669,                 2.2732,                 2.3736,              0.0015743,              0.0015743,              0.0015743
                     45,                 1.7753,                 1.4882,                 1.9816,                 0.2956,                0.41509,                0.24901,                0.09288,                 1.9715,                 2.5176,                  2.366,              0.0015644,              0.0015644,              0.0015644
                     46,                 1.7994,                 1.6257,                 2.0309,                0.43578,                0.22642,                0.22041,                0.08132,                 2.0362,                 2.5903,                 2.3644,              0.0015545,              0.0015545,              0.0015545
                     47,                  1.747,                 1.5797,                 2.0365,                0.31178,                0.30189,                0.23883,                0.10033,                 1.9664,                 2.5764,                 2.2877,              0.0015446,              0.0015446,              0.0015446
                     48,                 1.8346,                 1.5179,                 2.0122,                0.28554,                0.37736,                0.21986,                0.09899,                 1.9836,                 2.5537,                 2.2746,              0.0015347,              0.0015347,              0.0015347
                     49,                 1.7287,                 1.3775,                 1.9897,                0.30246,                0.28302,                0.20288,                  0.075,                 2.1641,                 2.5779,                 2.4013,              0.0015248,              0.0015248,              0.0015248
                     50,                 1.6949,                 1.4668,                 1.8917,                0.34215,                0.30189,                0.22463,                0.10735,                 1.8851,                 2.2375,                  2.202,              0.0015149,              0.0015149,              0.0015149
                     51,                 1.6695,                 1.3964,                 1.9186,                0.56925,                0.24528,                 0.3384,                0.14848,                 1.9898,                 2.1921,                 2.2854,               0.001505,               0.001505,               0.001505
                     52,                 1.7252,                 1.5234,                 1.9411,                0.43888,                0.41509,                0.43213,                0.21787,                 1.9466,                 2.0514,                  2.254,              0.0014951,              0.0014951,              0.0014951
                     53,                 1.8049,                 1.6753,                 2.1384,                0.35929,                0.45283,                0.37912,                0.18932,                 1.8623,                 2.0654,                 2.1954,              0.0014852,              0.0014852,              0.0014852
                     54,                 1.7251,                 1.5739,                 2.0496,                 0.3066,                0.41509,                0.29648,                0.12587,                 1.9442,                 2.3298,                 2.2376,              0.0014753,              0.0014753,              0.0014753
                     55,                 1.6576,                 1.4592,                  1.913,                0.48501,                0.41509,                0.41062,                0.18273,                 1.8735,                 2.0565,                 2.1751,              0.0014654,              0.0014654,              0.0014654
                     56,                 1.6067,                 1.4057,                 1.8126,                0.57476,                0.26415,                0.32432,                0.13835,                 1.8597,                 2.1485,                 2.1538,              0.0014555,              0.0014555,              0.0014555
                     57,                 1.6478,                 1.4343,                 1.8412,                0.32048,                0.35849,                0.30146,                0.11255,                 1.9762,                 2.3154,                 2.2336,              0.0014456,              0.0014456,              0.0014456
                     58,                 1.6017,                 1.2888,                 1.8511,                 0.3704,                0.50943,                 0.4316,                0.18919,                 1.9568,                 2.0443,                 2.2087,              0.0014357,              0.0014357,              0.0014357
                     59,                 1.7049,                 1.4499,                 1.9159,                0.48401,                0.43396,                 0.4262,                0.19242,                 2.0248,                 2.1033,                 2.2374,              0.0014258,              0.0014258,              0.0014258
                     60,                 1.6551,                 1.4159,                 1.8538,                0.36792,                0.32075,                0.32596,                0.15414,                 1.9809,                 2.4183,                 2.2242,              0.0014159,              0.0014159,              0.0014159
                     61,                 1.6687,                  1.393,                 1.9164,                0.34243,                0.26532,                0.29198,                0.12863,                 2.0563,                 2.4299,                 2.2671,               0.001406,               0.001406,               0.001406
                     62,                 1.6812,                 1.3816,                 1.8891,                0.39078,                0.41509,                0.39929,                0.19196,                 1.9897,                 2.1279,                 2.2283,              0.0013961,              0.0013961,              0.0013961
                     63,                 1.4592,                 1.3366,                 1.7936,                0.42532,                0.51675,                0.43871,                0.20538,                 1.9234,                 2.0314,                 2.1736,              0.0013862,              0.0013862,              0.0013862
                     64,                 1.6893,                 1.4042,                 1.7956,                 0.4277,                 0.4717,                0.39226,                0.18914,                 1.8983,                  2.064,                 2.1397,              0.0013763,              0.0013763,              0.0013763
                     65,                 1.6401,                 1.3963,                 1.8272,                 0.3636,                0.34504,                0.28998,                0.12642,                 1.9436,                 2.3636,                 2.1959,              0.0013664,              0.0013664,              0.0013664
                     66,                 1.5905,                  1.286,                 1.8607,                0.46913,                0.45283,                0.38573,                0.17325,                 1.8897,                 2.0615,                  2.178,              0.0013565,              0.0013565,              0.0013565
                     67,                 1.5978,                 1.3321,                 1.8438,                0.49026,                 0.4717,                0.43666,                0.18902,                 1.9369,                 2.0836,                 2.2306,              0.0013466,              0.0013466,              0.0013466
                     68,                 1.5661,                 1.2673,                 1.7716,                0.38223,                 0.4787,                0.37751,                0.15022,                 1.9836,                  2.115,                 2.2185,              0.0013367,              0.0013367,              0.0013367
                     69,                 1.6324,                 1.3367,                 1.9396,                0.33834,                0.49057,                0.40454,                0.18288,                 1.8934,                  2.088,                  2.175,              0.0013268,              0.0013268,              0.0013268
                     70,                 1.5231,                 1.2572,                 1.7605,                 0.3588,                 0.4717,                0.40659,                0.18999,                 1.8476,                  2.062,                 2.1243,              0.0013169,              0.0013169,              0.0013169
                     71,                 1.4949,                 1.2234,                 1.7482,                0.48341,                0.33962,                0.33365,                0.13184,                 1.9458,                 2.2696,                 2.2162,               0.001307,               0.001307,               0.001307
                     72,                 1.5267,                 1.2915,                 1.7519,                0.42489,                0.54717,                0.42739,                0.18506,                 1.8686,                 2.1227,                 2.1535,              0.0012971,              0.0012971,              0.0012971
                     73,                 1.5194,                 1.3025,                  1.763,                0.54248,                0.49221,                0.49234,                0.23503,                 1.8452,                 1.9272,                 2.1218,              0.0012872,              0.0012872,              0.0012872
                     74,                 1.4326,                  1.304,                 1.7255,                0.59971,                0.49057,                0.54296,                0.24096,                 1.7905,                  1.886,                 2.1224,              0.0012773,              0.0012773,              0.0012773
                     75,                 1.4894,                 1.2308,                  1.715,                0.58962,                0.49057,                0.46948,                0.21063,                 1.7513,                 2.0427,                  2.109,              0.0012674,              0.0012674,              0.0012674
                     76,                 1.5061,                 1.1939,                 1.7355,                0.54365,                0.41509,                0.37385,                0.15624,                 1.8456,                 2.2178,                 2.1256,              0.0012575,              0.0012575,              0.0012575
                     77,                 1.5136,                 1.2632,                 1.7832,                0.48643,                0.43396,                0.40466,                0.18806,                 1.8598,                 2.0236,                  2.088,              0.0012476,              0.0012476,              0.0012476
                     78,                  1.497,                 1.2155,                 1.7555,                0.38643,                0.56604,                0.44044,                0.20504,                 1.8329,                 1.8763,                 2.0788,              0.0012377,              0.0012377,              0.0012377
                     79,                 1.4581,                 1.3104,                 1.7677,                0.51833,                0.33962,                 0.4064,                0.20019,                 1.9105,                 1.9077,                 2.1406,              0.0012278,              0.0012278,              0.0012278
                     80,                 1.5749,                 1.3275,                 1.9002,                 0.4256,                0.43396,                0.43781,                0.21183,                 1.8943,                 1.8648,                 2.1256,              0.0012179,              0.0012179,              0.0012179
                     81,                 1.4366,                 1.2802,                 1.6869,                0.46839,                0.43396,                0.40292,                0.18486,                 1.9299,                 2.0904,                 2.1675,               0.001208,               0.001208,               0.001208
                     82,                 1.5162,                  1.374,                 1.8378,                0.41912,                0.35849,                0.36354,                0.17207,                 1.9239,                 2.0397,                 2.1582,              0.0011981,              0.0011981,              0.0011981
                     83,                 1.4657,                 1.2225,                 1.6923,                0.35264,                0.49057,                0.37858,                0.17913,                 1.9463,                 1.8843,                 2.1609,              0.0011882,              0.0011882,              0.0011882
                     84,                 1.4041,                 1.0759,                 1.6624,                0.32734,                0.45915,                0.40585,                0.16629,                 1.9459,                 2.0078,                 2.1669,              0.0011783,              0.0011783,              0.0011783
                     85,                 1.3494,                 1.1797,                 1.5789,                0.28769,                0.43396,                0.26155,                0.11169,                 1.9849,                  2.317,                  2.181,              0.0011684,              0.0011684,              0.0011684
                     86,                 1.4333,                 1.1909,                 1.6356,                0.36283,                0.49057,                0.35784,                0.14016,                 1.9949,                 2.1475,                 2.1908,              0.0011585,              0.0011585,              0.0011585
                     87,                 1.4243,                 1.1583,                 1.6703,                0.47196,                 0.4717,                0.47289,                0.21105,                 1.8855,                 1.8426,                 2.1403,              0.0011486,              0.0011486,              0.0011486
                     88,                  1.312,                 1.0576,                 1.5768,                0.42742,                0.52119,                0.44076,                0.20717,                 1.8962,                 1.9085,                  2.119,              0.0011387,              0.0011387,              0.0011387
