                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.0001,                 1.2707,                 1.3704,                 1.0479,                0.52945,                    0.5,                0.57311,                0.33167,                0.51364,                    0.5,                0.58041,                0.32947,                  1.295,                 2.7595,                  2.925,                 1.2631,              0.0010967,              0.0010967,              0.0010967
                     25,                 1.0001,                 1.4024,                 1.3534,                 1.0089,                0.86761,                   0.75,                0.85402,                0.50187,                0.86761,                   0.75,                0.85402,                0.51343,                  1.337,                  2.399,                 2.5738,                 1.3033,              0.0011284,              0.0011284,              0.0011284
                     26,                0.88236,                 1.2173,                 1.2596,                0.98224,                      1,                0.81365,                0.94167,                0.50041,                      1,                0.81365,                0.94167,                0.57819,                 1.4885,                 2.3286,                 2.5192,                 1.5024,              0.0011588,              0.0011588,              0.0011588
                     27,                0.91005,                 1.3246,                 1.3159,                  1.039,                      1,                0.83073,                0.93541,                0.50504,                      1,                0.83073,                0.93541,                0.56313,                 1.4736,                 2.2687,                  2.399,                 1.5111,              0.0011882,              0.0011882,              0.0011882
                     28,                0.87693,                 1.1021,                 1.2744,                 1.0117,                0.89407,                0.83333,                0.88088,                0.43316,                0.89407,                0.83333,                0.88088,                0.50921,                 1.4735,                 2.4248,                 2.4341,                 1.5535,              0.0012163,              0.0012163,              0.0012163
                     29,                0.94971,                 1.4118,                 1.3241,                 1.0064,                0.89407,                0.83333,                0.88088,                0.43316,                0.89407,                0.83333,                0.88088,                0.50921,                 1.4735,                 2.4248,                 2.4341,                 1.5535,              0.0012432,              0.0012432,              0.0012432
                     30,                0.87262,                 1.2208,                 1.2361,                 0.9766,                0.92465,                0.66667,                0.86403,                0.42646,                0.92465,                0.66667,                0.86403,                0.49707,                 1.5375,                 2.2721,                 2.3504,                 1.5063,               0.001269,               0.001269,               0.001269
                     31,                0.92166,                 1.3072,                 1.3325,                 1.0262,                0.89484,                   0.75,                  0.898,                0.48048,                0.89484,                   0.75,                  0.898,                0.55472,                 1.4884,                 2.1545,                 2.1875,                 1.4925,              0.0012935,              0.0012935,              0.0012935
                     32,                 1.0337,                 1.3066,                  1.178,                 1.0492,                0.80054,                   0.75,                0.83972,                0.46039,                0.80054,                   0.75,                0.83972,                 0.4874,                 1.4307,                 2.1077,                 2.2373,                 1.4258,              0.0013169,              0.0013169,              0.0013169
                     33,                 1.0166,                 1.2791,                 1.2272,                 1.1002,                0.80054,                   0.75,                0.83972,                0.46039,                0.80054,                   0.75,                0.83972,                 0.4874,                 1.4307,                 2.1077,                 2.2373,                 1.4258,              0.0013391,              0.0013391,              0.0013391
                     34,                0.99316,                 1.1521,                 1.3055,                 1.0736,                0.72593,                0.66667,                0.77703,                0.42652,                0.72593,                0.66667,                0.77703,                0.44444,                 1.3784,                 2.0674,                 2.4102,                 1.4003,              0.0013466,              0.0013466,              0.0013466
