                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0271,                  1.152,                 1.3675,                0.79301,                0.60108,                 0.6424,                0.35599,                  1.717,                 1.5338,                 1.9613,                  4e-05,                  4e-05,                  4e-05
                      2,                 1.1398,                  1.162,                 1.4557,                0.66837,                0.45098,                0.56486,                0.31388,                 1.7291,                 1.6457,                  1.966,              9.967e-05,              9.967e-05,              9.967e-05
                      3,                 1.0473,                 1.0297,                 1.3718,                0.59088,                0.39216,                0.48806,                0.28248,                 1.7459,                 1.8531,                 1.9496,             0.00015894,             0.00015894,             0.00015894
                      4,                 1.1192,                 1.1004,                 1.3564,                0.56644,                0.39216,                0.49496,                0.28569,                 1.7373,                  1.825,                 1.9115,             0.00021782,             0.00021782,             0.00021782
                      5,                 1.0752,                 1.0771,                 1.3564,                0.63595,                0.39216,                0.49572,                0.28497,                 1.7426,                 1.7828,                 1.9162,              0.0002763,              0.0002763,              0.0002763
                      6,                 1.1215,                 1.1151,                   1.41,                0.52765,                0.43817,                0.46418,                0.27329,                 1.7454,                 1.9042,                 1.9414,             0.00033439,             0.00033439,             0.00033439
                      7,                 1.0254,                 1.0037,                  1.426,                0.62061,                0.48125,                0.53472,                0.30595,                 1.6715,                 1.8299,                 1.8991,             0.00039208,             0.00039208,             0.00039208
                      8,                 1.0806,                 1.0739,                 1.3828,                0.54889,                0.45098,                0.52179,                0.29448,                 1.6876,                 1.7219,                 1.9378,             0.00044937,             0.00044937,             0.00044937
                      9,                 1.0573,                0.99067,                 1.3977,                0.62209,                0.41176,                0.49884,                0.28707,                 1.7045,                 1.7962,                  1.926,             0.00050627,             0.00050627,             0.00050627
                     10,                  1.097,                  1.054,                 1.3701,                0.50512,                0.43137,                0.41463,                0.22888,                 1.7623,                 1.9669,                 1.9602,             0.00056277,             0.00056277,             0.00056277
                     11,                 1.1361,                 1.0644,                 1.4458,                0.63077,                0.47059,                0.51836,                0.28832,                   1.78,                 1.8168,                 2.0081,             0.00061888,             0.00061888,             0.00061888
                     12,                 1.1185,                 1.0864,                 1.4436,                0.73677,                 0.4392,                0.51855,                0.28097,                 1.7729,                 1.9341,                 1.9908,             0.00067459,             0.00067459,             0.00067459
                     13,                 1.0663,                 1.0059,                 1.3585,                0.51355,                0.23529,                0.24415,                0.12784,                 1.9253,                 2.3823,                 2.0245,              0.0007299,              0.0007299,              0.0007299
                     14,                 1.1015,                0.98671,                 1.3876,                0.71853,                0.47059,                0.56762,                0.35267,                 1.6567,                 1.6786,                 1.8918,             0.00078482,             0.00078482,             0.00078482
                     15,                 1.1231,                 1.0238,                 1.4542,                0.40806,                0.60828,                0.50452,                 0.2932,                 1.7052,                 1.5956,                 1.9653,             0.00083934,             0.00083934,             0.00083934
                     16,                 1.1248,                 1.0401,                 1.4496,                  0.481,                 0.4902,                0.47778,                  0.253,                 1.8102,                   1.81,                 1.9753,             0.00089347,             0.00089347,             0.00089347
                     17,                 1.1375,                 1.0534,                 1.4305,                0.46212,                0.47059,                0.42068,                0.22197,                 1.7989,                 2.1373,                 2.0292,              0.0009472,              0.0009472,              0.0009472
                     18,                 1.1206,                 1.0076,                 1.3847,                0.60451,                0.45098,                0.45037,                0.21266,                 1.8908,                 2.2848,                 2.0744,              0.0010005,              0.0010005,              0.0010005
                     19,                 1.2383,                 1.0892,                 1.4378,                0.37041,                 0.4902,                0.34058,                 0.1583,                 1.9798,                 2.1926,                 2.1127,              0.0010535,              0.0010535,              0.0010535
                     20,                 1.1916,                 1.0673,                 1.4501,                0.60778,                0.41176,                0.45857,                0.23571,                 1.9087,                 2.0339,                  2.119,               0.001106,               0.001106,               0.001106
                     21,                 1.2614,                 1.0869,                  1.507,                0.50069,                0.43137,                0.41626,                0.21396,                 1.9181,                 2.1148,                 2.1223,              0.0011582,              0.0011582,              0.0011582
                     22,                 1.1884,                  1.148,                 1.4571,                 0.2684,                0.37255,                0.24043,                0.11838,                  1.915,                 2.3317,                 2.1047,              0.0012099,              0.0012099,              0.0012099
                     23,                 1.1055,                 1.0064,                 1.3903,                0.45945,                0.43137,                0.37122,                 0.1874,                 1.9928,                 2.2079,                 2.1234,              0.0012613,              0.0012613,              0.0012613
                     24,                 1.2163,                 1.1057,                  1.467,                0.49697,                0.43137,                0.39181,                 0.2086,                  1.854,                 2.1789,                 1.9936,              0.0013122,              0.0013122,              0.0013122
                     25,                 1.2675,                 1.1392,                 1.5396,                 0.5445,                0.46882,                 0.4347,                0.20669,                 1.8877,                 1.8733,                 2.0339,              0.0013628,              0.0013628,              0.0013628
                     26,                 1.1606,                 1.0936,                 1.4125,                0.41839,                 0.4902,                0.44229,                0.22128,                 1.8117,                 1.9484,                 2.0277,              0.0014129,              0.0014129,              0.0014129
