                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.088,                 2.1871,                 1.0475,                      1,                0.15322,                0.57733,                0.44026,                0.97431,                 3.2059,                0.95546,             0.00065556,             0.00065556,             0.00065556
                      2,                 1.0347,                 1.3784,                 1.0414,                0.94048,                0.61661,                0.71167,                0.50991,                 1.1615,                 1.9839,                 1.0994,              0.0013189,              0.0013189,              0.0013189
                      3,                 1.0605,                 1.2082,                 1.0503,                0.80395,                0.64217,                0.73774,                 0.5478,                 1.0275,                 2.0154,                 1.0755,               0.001979,               0.001979,               0.001979
                      4,                 1.1036,                 1.0761,                  1.073,                0.77003,                0.70288,                0.78226,                0.54766,                 1.1435,                  1.162,                 1.1385,              0.0019852,              0.0019852,              0.0019852
                      5,                 1.0828,                  0.974,                 1.0742,                0.76562,                0.75144,                0.74946,                0.50829,                 1.0785,                 1.3109,                 1.1153,              0.0019802,              0.0019802,              0.0019802
                      6,                 1.0086,                0.84471,                 1.0402,                0.93394,                0.81302,                0.89488,                0.64951,                 1.0435,                0.87293,                 1.0901,              0.0019753,              0.0019753,              0.0019753
                      7,                 1.0038,                0.81348,                 1.0474,                0.88378,                 0.7508,                0.83322,                0.61533,                0.99658,                0.89867,                 1.0536,              0.0019703,              0.0019703,              0.0019703
                      8,                  1.005,                0.80369,                 1.0437,                 0.9198,                0.80611,                0.88595,                0.64221,                 1.0151,                 0.8479,                 1.0476,              0.0019654,              0.0019654,              0.0019654
                      9,                0.97663,                0.72603,                 1.0273,                0.93242,                0.79233,                0.90767,                0.65813,                 0.9529,                 0.7125,                 1.0136,              0.0019604,              0.0019604,              0.0019604
                     10,                0.94341,                0.68565,                 1.0057,                0.87302,                 0.8147,                0.86084,                0.59612,                 1.0811,                0.89609,                 1.0837,              0.0019555,              0.0019555,              0.0019555
                     11,                0.94363,                0.72652,                 1.0166,                 0.9185,                0.86581,                 0.9111,                0.69115,                0.92674,                0.67295,                 1.0072,              0.0019505,              0.0019505,              0.0019505
                     12,                  0.942,                0.67634,                 1.0014,                 0.9106,                0.81352,                0.90149,                0.66667,                0.94517,                0.71046,                 1.0263,              0.0019456,              0.0019456,              0.0019456
                     13,                0.92521,                0.67494,                 1.0021,                0.94387,                0.85956,                0.93495,                 0.6936,                0.95477,                0.63895,                 1.0378,              0.0019406,              0.0019406,              0.0019406
